key,valor
site_name,Ad House Admin Panel
sidebar_label,Ad House Admin
slogan,El periódico es un tesoro mayor que las personas que incontables millones de oro
title_bar_seperator,|
hello,¡Hola! Soy de archivo de idioma
added_date,Fecha
upload_point_label,Subir Point
success_item_report,Informe artículo ha sido agregado con éxito
profile_img,Imagen de perfil
signin,Registrarse
check_for_detail,Compruebe para más detalle!
success_delete,Se han eliminado las
success_save_contact,Gracias por contactarnos. Vamos a llegar de nuevo a usted pronto.
success_contact_delete,Contacto mensaje se ha eliminado correctamente
btn_search,Buscar
btn_add_new,Añadir nuevo
btn_edit,Editar
btn_save,Salvar
btn_save_gallery,Guardar y Ir a la galería
btn_cancel,Cancelar
btn_yes,si
btn_delete,Eliminar
btn_publish,Publicar
btn_replace_photo,Vuelva a colocar las fotos
btn_replace_icon,reemplazar Icono
back_button,atrás
lbl_view,Ver
chat_history_save_success,historial de chat se ha añadido con éxito
chat_history_update_success,historial de chat se ha actualizado correctamente
btn_version,Versión
ver_info,Información de versión
ver_no_label,versión n
ver_msg_label,versión Mensaje
ver_title_label,versión Título
ver_force_update,Actualización de la versión de la Fuerza?
ver_need_data,Versión clara necesidad de datos?
success_version_add,Versión se ha añadido con éxito
success_version_edit,Versión se ha actualizado correctamente
dashboard,Tablero
no,No
del_cover_photo,Eliminar la foto de portada
youtube_url,Youtube URL
del_icon_label,Icono de borrar
del_icon_confirm,¿Está seguro de que quiere borrar el icono?
success_upload,La imagen se ha cargado correctamente
success_img_delete,La imagen se ha eliminado correctamente
error_login,Correo electrónico y contraseña no coinciden
err_access,"Lo sentimos, usted no tiene acceso a tomar esta acción"
err_model,Se ha producido error de base de datos
err_sys,Se ha producido un error del sistema
err_upload,Se ha producido error de subida
wrn_no_data,No hay datos aún
del_cover_photo_confirm,¿Está seguro de que quiere borrar la foto?
upload_photo,Subir foto
no_record,No hay más registros
invalid_api_key,Clave de API no es válido
invalid_user_id,Identificación de usuario inválida
invalid_item_id,ID de elemento no válido
role,Papel
user_name,Nombre de usuario
user_email,Correo electrónico
user_password,Contraseña
conf_password,Confirmar contraseña
user_phone,Teléfono
allowed_modules,Módulos permitidos
user_ban,Prohibición
user_unban,eliminar la prohibición
user_info,informacion del usuario
user_list,Lista de usuarios
user_add,Añadir nuevo usuario
user_edit,editar usuario
user_search,la búsqueda de usuarios
err_dup_email,Dirección de correo electrónico está ya existía en el sistema
err_dup_name,El nombre ya se existía en el sistema
err_user_name_blank,Sírvanse proporcionar nombre de usuario
err_user_name_len,La longitud del nombre de usuario debe ser mayor que 4
err_user_email_blank,"Por favor, indique la dirección de correo electrónico"
